"","Subject","Simon.Score","Ospan.Recall.Computer","PN.AVG.RT","Simon.Score_Z","PN.AVG.RT_Z","rev_temp_Z","summedZ","var_across","cov_all","composite"
"29",1283,40.9,34,1296,-0.218078946413819,0.891433953095222,1.9311435868154,2.60449859349681,1.15519541566129,0.224438351603668,2.2173906888569
"30",1284,60.8,50,1024.66,0.747455910773612,-0.334395027458575,-0.324589499311927,0.0884713840031096,0.386629827036928,0.224438351603668,0.113176950266139
"31",1286,2.4,54,1500.21,-2.08607351936438,1.81399065729988,-0.88852277084376,-1.16060563290826,3.9913678677798,0.224438351603668,-0.565254923638607
"32",1287,35.2,56,838.16,-0.494639181889616,-1.17694350860136,-1.17048940660968,-2.84207209710065,0.153725729322707,0.224438351603668,-4.62162765026986
"33",1288,19.1,48,1539.91,-1.27580054875985,1.99334280047075,-0.0426228635460109,0.674919388164894,2.72553027103054,0.224438351603668,0.39295534986902
"34",1289,76.8,39,1651.6,1.52376534368813,2.49792317504897,1.22622699740061,5.24791551613771,0.442453952693102,0.224438351603668,6.42627019960514
"35",1290,47.5,33,1435.76,0.102148694663419,1.52282578003632,2.07212690469836,3.6971013793981,1.03347820907852,0.224438351603668,3.2963661236793
"36",1291,36.9,51,1233.88,-0.412156304642448,0.610795284738173,-0.465572817194885,-0.266933837099161,0.36797526148143,0.224438351603668,-0.346809603132771
"37",1292,33.1,43,998.63,-0.596529794959646,-0.451990399920488,0.66229372586878,-0.386226469011354,0.474526234382519,0.224438351603668,-0.461970716849921
"38",1294,69.8,49,965.28,1.18412996678803,-0.602655235556476,-0.183606181428969,0.397868549802582,0.873150940036986,0.224438351603668,0.379769148041814
"39",1296,28.9,32,1378.56,-0.800311021099707,1.26441412791103,2.21311022258132,2.67721332939264,2.3739703021447,0.224438351603668,1.66084556700042
"40",1297,40.1,54,1121.57,-0.256894418059545,0.103413944699855,-0.88852277084376,-1.04200324420345,0.252119156659786,0.224438351603668,-1.50942456270994
"41",1298,18.9,50,1034.6,-1.28550441667128,-0.289489226372467,-0.324589499311927,-1.89958314235567,0.319439294478356,0.224438351603668,-2.57577368633157
"42",1299,40.7,56,978.39,-0.22778281432525,-0.543428369134053,-1.17048940660968,-1.94170059006898,0.230255563354513,0.224438351603668,-2.8795371870762
"43",1300,41,43,992.94,-0.213227012458103,-0.477696034546238,0.66229372586878,-0.0286293211355614,0.356009513455966,0.224438351603668,-0.0375776347643773
"44",1301,35.1,44,1166.74,-0.499491115845331,0.30747783152677,0.521310407985822,0.32929712366726,0.289826500638993,0.224438351603668,0.45919221405483
"45",1302,31.2,46,1339.27,-0.688716540118245,1.0869142360928,0.239343772219905,0.63754146819446,0.788756047999123,0.224438351603668,0.633376648944316
"46",1303,15.1,55,1407.69,-1.46987790698848,1.39601432767344,-1.02950608872672,-1.10336966804176,2.38173582156477,0.224438351603668,-0.683469789147318
"47",1304,45.5,52,1103.68,0.00511001554910476,0.0225925381173115,-0.606556135077843,-0.578853581411427,0.12837819523356,0.224438351603668,-0.974527843852182
